snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,1,Raya,ARS,GKP,60,0,0,41.2,270547,64313,831348,589689,a,,,,,,,,7.2,14,29,360,4,0,0,3,1,7,0,6,0,44,0.00,0.01,0.01,2.72,7.2,7.2
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,2,Arrizabalaga,ARS,GKP,49,0,-1,0.1,176,548,1372,4002,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,3,Meslier,ARS,GKP,49,0,-1,0.0,82,198,463,1457,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,23.0,46813,114042,209023,838121,a,,,,,,,,6.0,9,24,360,4,0,0,3,1,0,32,29,3,13,0.51,0.06,0.57,2.72,6.0,6.0
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.3,19497,3717,21065,10652,a,,2026-07-23T12:01:23.272929Z,25,100,,,,0.2,1,1,45,0,0,0,0,0,0,3,2,1,5,0.00,0.01,0.01,1.57,0.1,0.2
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,6,Saliba,ARS,DEF,59,0,-1,0.2,395,1970,3078,17519,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.6,3155,10811,28605,44472,a,,,,,,,,2.2,1,9,271,4,0,0,2,1,0,14,5,1,8,0.16,0.23,0.39,1.02,2.2,2.2
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,8,Calafiori,ARS,DEF,58,0,3,50.2,259186,80117,1572294,335021,a,,,,,,,,7.0,6,28,326,4,0,2,3,1,0,13,10,3,8,0.60,0.59,1.19,2.45,7.0,7.0
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,9,Hincapie,ARS,DEF,53,0,-2,0.9,2516,15303,14776,111366,a,,,,,,,,0.5,0,2,32,0,0,0,0,0,0,3,2,1,0,0.00,0.00,0.00,0.28,0.5,0.5
2026-09-18T16:59:08+00:00,2026-09-18,deadline,5,2026-09-18T17:30:00Z,10,White,ARS,DEF,55,0,0,5.4,20561,230069,452152,489456,a,,2026-09-15T19:30:09.494382Z,100,100,,,,5.2,1,21,315,4,0,1,2,1,0,18,12,6,9,0.18,0.29,0.47,1.15,5.2,5.2
