snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,1,Raya,ARS,GKP,60,0,0,31.0,0,0,0,0,a,,,,,,,,0.0,0,162,3330,37,0,0,19,26,60,0,37,1,304,0.00,0.07,0.07,27.56,,4.0
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,2,Arrizabalaga,ARS,GKP,50,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,2,90,1,0,0,0,1,2,0,3,0,8,0.00,0.00,0.00,0.98,,2.6
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,3,Meslier,ARS,GKP,50,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,2.6
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,26.7,0,0,0,0,a,,,,,,,,0.0,0,209,2750,30,3,5,18,20,0,277,239,38,64,2.94,1.75,4.69,22.01,,4.0
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.4,0,0,0,0,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,,0,,,,0.0,0,149,2452,28,3,6,13,20,0,148,82,66,97,4.71,1.53,6.24,17.45,,0.0
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.5,0,0,0,0,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,,0,,,,0.0,0,137,2614,30,1,0,15,20,0,193,158,35,113,0.88,1.21,2.09,20.41,,0.0
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.3,0,0,0,0,a,,,,,,,,0.0,0,29,697,5,0,0,2,8,0,25,17,8,30,0.10,0.20,0.30,9.01,,2.0
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,8,Calafiori,ARS,DEF,55,0,0,17.4,0,0,0,0,a,,,,,,,,0.0,0,109,1697,22,1,2,13,8,0,102,70,32,74,3.36,0.76,4.12,9.72,,2.5
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,9,Hincapie,ARS,DEF,55,0,0,4.0,0,0,0,0,a,,,,,,,,0.0,0,87,1787,20,1,2,5,19,0,171,123,48,63,0.36,1.67,2.03,17.53,,2.5
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,10,White,ARS,DEF,55,0,0,0.8,0,0,0,0,a,,2026-07-23T12:01:23.305229Z,,100,,,,0.0,0,45,699,9,0,1,5,6,0,53,38,15,28,0.45,0.69,1.14,8.68,,2.5
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,11,Mosquera,ARS,DEF,55,0,0,14.7,0,0,0,0,a,,,,,,,,0.0,0,40,986,9,0,0,3,8,0,95,63,32,35,0.10,0.63,0.73,9.04,,2.5
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,12,Saka,ARS,MID,95,0,0,10.7,0,0,0,0,a,,,,,1,2,7,0.0,0,157,2218,25,7,10,12,16,0,184,28,40,116,7.57,7.16,14.73,15.57,,3.2
2026-08-11T23:19:05+00:00,2026-08-11,daily,1,2026-08-21T17:30:00Z,13,Rice,ARS,MID,75,0,0,22.0,0,0,0,0,a,,,,,,1,6,0.0,0,184,3093,35,4,9,18,25,0,376,127,69,180,3.15,7.32,10.47,23.87,,2.6
