snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,1,Raya,ARS,GKP,60,0,0,38.8,104158,81983,415840,392689,a,,,,,,,,5.0,3,15,270,3,0,0,2,1,5,0,4,0,30,0.00,0.01,0.01,0.92,5.0,5.0
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,2,Arrizabalaga,ARS,GKP,49,-1,-1,0.1,184,446,1105,3049,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,3,Meslier,ARS,GKP,49,-1,-1,0.0,68,169,341,1120,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,4,Gabriel,ARS,DEF,80,0,0,24.9,25092,110707,130740,580457,a,,,,,,,,5.0,2,15,270,3,0,0,2,1,0,21,19,2,11,0.49,0.05,0.54,0.92,5.0,5.0
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,360,782,1310,6327,d,Groin injury - 25% chance of playing,2026-07-23T12:01:23.272929Z,25,25,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.2,500,2054,2448,14352,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,3912,4966,22454,27507,a,,,,,,,,2.7,2,8,226,3,0,0,2,1,0,14,5,1,8,0.16,0.23,0.39,0.79,2.7,2.7
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,8,Calafiori,ARS,DEF,57,0,2,47.3,221338,37866,1046922,198055,a,,,,,,,,7.3,2,22,236,3,0,2,2,1,0,9,6,3,6,0.54,0.58,1.12,0.65,7.3,7.3
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,9,Hincapie,ARS,DEF,53,-1,-2,1.1,2045,9907,10380,86594,a,,,,,,,,0.7,1,2,32,0,0,0,0,0,0,3,2,1,0,0.00,0.00,0.00,0.28,0.7,0.7
2026-09-08T00:37:13+00:00,2026-09-07,daily,4,2026-09-12T12:30:00Z,10,White,ARS,DEF,55,0,0,7.6,59350,50746,367586,193177,a,,2026-07-23T12:01:23.305229Z,100,100,,,,6.7,2,20,270,3,0,1,2,1,0,15,11,4,9,0.18,0.29,0.47,0.92,6.7,6.7
