snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,1,Raya,ARS,GKP,60,0,0,38.1,66833,48571,66833,48571,a,,,,,,,,6.0,6,6,90,1,0,0,1,0,1,0,1,0,8,0.00,0.00,0.00,0.20,4.0,4.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,2,Arrizabalaga,ARS,GKP,50,0,0,0.1,220,901,220,901,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.6,2.6
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,3,Meslier,ARS,GKP,50,0,0,0.0,72,333,72,333,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.6,2.6
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,29.4,39571,75966,39571,75966,a,,,,,,,,5.0,5,5,90,1,0,0,1,0,0,4,4,0,2,0.05,0.01,0.06,0.20,4.0,4.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,297,2255,297,2255,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.3,631,5107,631,5107,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,6700,5797,6700,5797,a,,,,,,,,3.0,3,3,90,1,0,0,1,0,0,7,1,1,5,0.06,0.11,0.17,0.20,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,8,Calafiori,ARS,DEF,55,0,0,41.3,226614,24293,226614,24293,a,,,,,,,,9.0,9,9,80,1,0,1,1,0,0,5,4,1,1,0.04,0.09,0.13,0.06,2.5,2.5
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,9,Hincapie,ARS,DEF,55,0,0,1.6,2804,28580,2804,28580,a,,,,,,,,1.0,1,1,9,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.15,2.5,2.5
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,10,White,ARS,DEF,55,0,0,5.8,89410,12630,89410,12630,a,,2026-07-23T12:01:23.305229Z,100,100,,,,11.0,11,11,90,1,0,1,1,0,0,5,4,1,3,0.18,0.21,0.39,0.20,2.5,2.5
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,11,Mosquera,ARS,DEF,55,0,0,6.0,11059,26023,11059,26023,a,,,,,,,,6.0,6,6,90,1,0,0,1,0,0,6,6,0,3,0.00,0.00,0.00,0.20,2.5,2.5
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,12,Saka,ARS,MID,95,0,0,10.3,60122,18235,60122,18235,a,,,,,1,2,2,9.0,9,9,67,1,1,0,1,0,0,7,2,1,4,0.64,0.08,0.72,0.06,3.2,3.2
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,13,Rice,ARS,MID,75,0,0,17.4,24977,98127,24977,98127,a,,,,,,1,1,3.0,3,3,67,1,0,0,1,0,0,6,3,0,3,0.07,0.08,0.15,0.06,2.6,2.6
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,14,Eze,ARS,MID,65,0,0,1.9,3771,29388,3771,29388,a,,,,,,3,,1.0,1,1,14,0,0,0,0,0,0,2,0,0,2,0.04,0.00,0.04,0.15,2.3,2.3
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,15,Ødegaard,ARS,MID,65,0,0,10.8,195155,20084,195155,20084,a,,,,,3,,4,11.0,11,11,75,1,1,0,1,0,0,8,1,3,4,0.21,0.10,0.31,0.06,2.3,2.3
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,16,Madueke,ARS,MID,65,0,0,0.3,805,5249,805,5249,a,,,,,,,6,1.0,1,1,22,0,0,0,0,0,0,2,0,0,2,0.00,0.04,0.04,0.15,2.3,2.3
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,17,Merino,ARS,MID,60,0,0,0.6,1768,10926,1768,10926,a,,,,,,,,1.0,1,1,14,0,0,0,0,0,0,2,0,0,2,0.14,0.02,0.16,0.15,2.2,2.2
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,18,Martinelli,ARS,MID,65,0,0,0.2,857,4857,857,4857,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.3,2.3
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,19,Zubimendi,ARS,MID,55,0,0,1.0,1064,13677,1064,13677,a,,,,,,,,1.0,1,1,22,0,0,0,0,0,0,3,0,1,2,0.00,0.02,0.02,0.15,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,20,Dowman,ARS,MID,55,0,0,0.1,290,1715,290,1715,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,22,Nwaneri,ARS,MID,55,0,0,0.0,50,228,50,228,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,23,Fábio Vieira,ARS,MID,55,0,0,0.0,49,153,49,153,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,24,Nelson,ARS,MID,55,0,0,0.0,44,113,44,113,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,25,Gyökeres,ARS,FWD,75,0,0,7.6,6256,150605,6256,150605,a,,,,,2,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.4,2.4
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,26,Havertz,ARS,FWD,75,0,0,7.0,128087,20754,128087,20754,a,,,,,,,,6.0,6,6,90,1,1,0,1,0,0,2,2,0,0,0.26,0.03,0.29,0.20,2.4,2.4
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,27,G.Jesus,ARS,FWD,60,0,0,0.3,1322,4949,1322,4949,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,31,Konsa,ARS,DEF,45,0,0,11.4,29584,159405,29584,159405,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.7,1.7
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,452,Bruno G.,ARS,MID,70,0,0,3.2,599,83288,599,83288,d,Thigh injury - 75% chance of playing,2026-08-20T17:00:08.846118Z,75,75,4,,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.8,1.8
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,557,Tzolis,ARS,MID,65,0,0,25.8,152943,29452,152943,29452,a,,,,,,,3,6.0,6,6,75,1,0,1,1,0,0,6,2,1,3,0.19,0.14,0.33,0.06,2.3,2.3
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,28,Martinez,AVL,GKP,50,0,0,4.2,5649,35998,5649,35998,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.6,2.6
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,29,M.Bizot,AVL,GKP,45,0,0,0.1,498,497,498,497,a,,,,,,,,1.0,1,1,90,1,0,0,0,4,3,0,2,0,6,0.00,0.00,0.00,3.77,1.9,1.9
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,30,Digne,AVL,DEF,45,0,0,0.1,0,3908,0,3908,u,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,32,Cash,AVL,DEF,45,0,0,8.1,23690,66914,23690,66914,a,,,,,,,1,-1.0,-1,-1,90,1,0,0,0,4,0,7,5,2,0,0.00,0.00,0.00,3.77,1.7,1.7
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,33,Mings,AVL,DEF,45,0,0,0.4,2650,2254,2650,2254,a,,,,,,,,1.0,1,1,16,0,0,0,0,0,0,1,0,1,0,0.00,0.00,0.00,0.22,1.7,1.7
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,34,Pau,AVL,DEF,45,0,0,0.4,1601,3137,1601,3137,a,,,,,,,,0.0,0,0,73,1,0,0,0,4,0,5,5,0,1,0.00,0.00,0.00,3.55,1.7,1.7
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,35,Bogarde,AVL,MID,50,0,0,0.1,490,591,490,591,a,,,,,,,,1.0,1,1,16,0,0,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.22,1.5,1.5
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,36,Maatsen,AVL,DEF,45,0,0,0.8,2091,5602,2091,5602,a,,,,,,,,0.0,0,0,81,1,0,0,0,4,0,9,7,2,2,0.03,0.00,0.03,3.62,1.7,1.7
2026-08-25T22:56:38+00:00,2026-08-25,daily,2,2026-08-28T17:30:00Z,37,Lindelöf,AVL,DEF,45,0,0,0.3,1454,2582,1454,2582,a,,,,,,,,-2.0,-2,-2,90,1,0,0,0,4,0,3,3,0,1,0.00,0.00,0.00,3.77,1.7,1.7
