snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,1,Raya,ARS,GKP,60,0,0,41.0,220516,47478,781317,572854,a,,,,,,,,7.2,14,29,360,4,0,0,3,1,7,0,6,0,44,0.00,0.01,0.01,2.72,7.2,7.2
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,2,Arrizabalaga,ARS,GKP,49,0,-1,0.1,151,469,1347,3923,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,3,Meslier,ARS,GKP,49,0,-1,0.0,65,180,446,1439,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,23.2,37157,87368,199367,811447,a,,,,,,,,6.0,9,24,360,4,0,0,3,1,0,32,29,3,13,0.51,0.06,0.57,2.72,6.0,6.0
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.3,15753,2877,17321,9812,a,,2026-07-23T12:01:23.272929Z,25,100,,,,0.2,1,1,45,0,0,0,0,0,0,3,2,1,5,0.00,0.01,0.01,1.57,0.1,0.2
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,6,Saliba,ARS,DEF,59,0,-1,0.2,358,1768,3041,17317,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.6,2694,8787,28144,42448,a,,,,,,,,2.2,1,9,271,4,0,0,2,1,0,14,5,1,8,0.16,0.23,0.39,1.02,2.2,2.2
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,8,Calafiori,ARS,DEF,58,0,3,50.2,210239,59253,1523347,314157,a,,,,,,,,7.0,6,28,326,4,0,2,3,1,0,13,10,3,8,0.60,0.59,1.19,2.45,7.0,7.0
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,9,Hincapie,ARS,DEF,53,0,-2,0.9,2216,13239,14476,109302,a,,,,,,,,0.5,0,2,32,0,0,0,0,0,0,3,2,1,0,0.00,0.00,0.00,0.28,0.5,0.5
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,10,White,ARS,DEF,55,0,0,5.9,17859,182454,449450,441841,d,Muscular injury - 75% chance of playing,2026-09-15T19:30:09.494382Z,100,75,,,,5.2,1,21,315,4,0,1,2,1,0,18,12,6,9,0.18,0.29,0.47,1.15,5.2,3.9
2026-09-18T00:41:43+00:00,2026-09-17,daily,5,2026-09-18T17:30:00Z,11,Mosquera,ARS,DEF,53,-1,-2,1.8,150,68413,29839,445265,d,Muscular injury - 50% chance of playing,2026-09-04T14:00:08.080310Z,50,50,,,,3.0,0,12,168,2,0,0,2,0,0,10,10,0,3,0.00,0.01,0.01,0.53,1.5,1.5
