snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,1,Raya,ARS,GKP,60,0,0,38.9,142535,117161,454217,427867,a,,,,,,,,5.0,3,15,270,3,0,0,2,1,5,0,4,0,30,0.00,0.01,0.01,0.92,5.0,5.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,2,Arrizabalaga,ARS,GKP,49,-1,-1,0.1,218,586,1139,3189,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,3,Meslier,ARS,GKP,49,-1,-1,0.0,82,212,355,1163,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,4,Gabriel,ARS,DEF,80,0,0,24.7,33886,145540,139534,615290,a,,,,,,,,5.0,2,15,270,3,0,0,2,1,0,21,19,2,11,0.49,0.05,0.54,0.92,5.0,5.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,479,1009,1429,6554,d,Groin injury - 25% chance of playing,2026-07-23T12:01:23.272929Z,25,25,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,6,Saliba,ARS,DEF,59,-1,-1,0.2,615,2581,2563,14879,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,4865,6604,23407,29145,a,,,,,,,,2.7,2,8,226,3,0,0,2,1,0,14,5,1,8,0.16,0.23,0.39,0.79,2.7,2.7
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,8,Calafiori,ARS,DEF,57,0,2,47.9,290747,52701,1116331,212890,a,,,,,,,,7.3,2,22,236,3,0,2,2,1,0,9,6,3,6,0.54,0.58,1.12,0.65,7.3,7.3
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,9,Hincapie,ARS,DEF,53,-1,-2,1.1,2559,12626,10894,89313,a,,,,,,,,0.7,1,2,32,0,0,0,0,0,0,3,2,1,0,0.00,0.00,0.00,0.28,0.7,0.7
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,10,White,ARS,DEF,55,0,0,7.6,74501,67675,382737,210106,a,,2026-07-23T12:01:23.305229Z,100,100,,,,6.7,2,20,270,3,0,1,2,1,0,15,11,4,9,0.18,0.29,0.47,0.92,6.7,6.7
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,11,Mosquera,ARS,DEF,54,-1,-1,3.3,609,105190,29565,279507,d,Muscular injury - 75% chance of playing,2026-09-04T14:00:08.080310Z,75,75,,,,4.0,0,12,168,2,0,0,2,0,0,10,10,0,3,0.00,0.01,0.01,0.53,3.0,3.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,12,Saka,ARS,MID,95,0,0,11.4,122808,78259,368098,214775,a,,,,,1,2,2,7.3,2,22,246,3,2,0,2,1,0,22,6,4,12,1.50,0.35,1.85,0.78,7.3,7.3
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,13,Rice,ARS,MID,74,-1,-1,13.5,17017,87162,74289,493775,a,,,,,,1,1,4.3,5,13,241,3,0,1,2,1,0,24,10,3,11,0.10,0.26,0.36,0.78,4.3,4.3
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,14,Eze,ARS,MID,64,0,-1,1.3,2830,19316,16817,104380,a,,,,,,3,,0.7,0,2,59,0,0,0,0,0,0,5,0,0,5,0.04,0.07,0.11,0.39,0.7,0.7
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,15,Ødegaard,ARS,MID,66,0,1,14.2,332909,64676,742121,274138,a,,,,,3,4,4,8.0,10,24,221,3,2,0,2,1,0,16,3,5,8,1.01,1.05,2.06,0.66,8.0,8.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,16,Madueke,ARS,MID,63,0,-2,0.2,1139,2908,3827,19212,a,,,,,,,6,0.7,1,2,23,0,0,0,0,0,0,3,0,1,2,0.00,0.05,0.05,0.15,0.7,0.7
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,17,Merino,ARS,MID,59,0,-1,0.5,1373,7090,6856,36216,a,,,,,,,,0.7,0,2,46,0,0,0,0,0,0,6,0,0,6,0.14,0.02,0.16,0.26,0.7,0.7
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,18,Martinelli,ARS,MID,63,0,-2,0.1,0,4964,2483,18606,u,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,19,Zubimendi,ARS,MID,54,0,-1,0.7,1167,7941,6231,48550,a,,,,,,,,1.0,1,3,50,0,0,0,0,0,0,9,4,3,2,0.08,0.04,0.12,0.28,1.0,1.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,20,Dowman,ARS,MID,53,-1,-2,0.1,433,914,1514,5241,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,22,Nwaneri,ARS,MID,54,0,-1,0.0,0,258,233,1009,u,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,23,Fábio Vieira,ARS,MID,55,0,0,0.0,0,213,255,739,u,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,24,Nelson,ARS,MID,55,0,0,0.0,0,76,68,551,u,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,25,Gyökeres,ARS,FWD,73,0,-2,4.0,4498,59510,21435,498630,a,,,,,2,,,0.3,1,1,12,0,0,0,0,0,0,1,0,0,1,0.00,0.00,0.00,0.11,0.3,0.3
2026-09-10T00:27:33+00:00,2026-09-09,daily,4,2026-09-12T12:30:00Z,26,Havertz,ARS,FWD,75,0,0,7.6,115449,45026,375576,225240,a,,,,,,,,5.3,8,16,257,3,2,0,2,1,0,8,3,0,5,0.55,0.33,0.88,0.80,5.3,5.3
