snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,1,Raya,ARS,GKP,60,0,0,38.9,123939,99523,435621,410229,a,,,,,,,,5.0,3,15,270,3,0,0,2,1,5,0,4,0,30,0.00,0.01,0.01,0.92,5.0,5.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,2,Arrizabalaga,ARS,GKP,49,-1,-1,0.1,202,527,1123,3130,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,3,Meslier,ARS,GKP,49,-1,-1,0.0,78,189,351,1140,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,4,Gabriel,ARS,DEF,80,0,0,24.8,29873,129366,135521,599116,a,,,,,,,,5.0,2,15,270,3,0,0,2,1,0,21,19,2,11,0.49,0.05,0.54,0.92,5.0,5.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,416,904,1366,6449,d,Groin injury - 25% chance of playing,2026-07-23T12:01:23.272929Z,25,25,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,6,Saliba,ARS,DEF,59,-1,-1,0.2,558,2367,2506,14665,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,4470,5896,23012,28437,a,,,,,,,,2.7,2,8,226,3,0,0,2,1,0,14,5,1,8,0.16,0.23,0.39,0.79,2.7,2.7
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,8,Calafiori,ARS,DEF,57,0,2,47.7,259084,45179,1084668,205368,a,,,,,,,,7.3,2,22,236,3,0,2,2,1,0,9,6,3,6,0.54,0.58,1.12,0.65,7.3,7.3
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,9,Hincapie,ARS,DEF,53,-1,-2,1.1,2337,11480,10672,88167,a,,,,,,,,0.7,1,2,32,0,0,0,0,0,0,3,2,1,0,0.00,0.00,0.00,0.28,0.7,0.7
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,10,White,ARS,DEF,55,0,0,7.6,67251,59353,375487,201784,a,,2026-07-23T12:01:23.305229Z,100,100,,,,6.7,2,20,270,3,0,1,2,1,0,15,11,4,9,0.18,0.29,0.47,0.92,6.7,6.7
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,11,Mosquera,ARS,DEF,54,-1,-1,3.5,576,93837,29532,268154,d,Muscular injury - 75% chance of playing,2026-09-04T14:00:08.080310Z,75,75,,,,4.0,0,12,168,2,0,0,2,0,0,10,10,0,3,0.00,0.01,0.01,0.53,3.0,3.0
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,12,Saka,ARS,MID,95,0,0,11.4,108159,63421,353449,199937,a,,,,,1,2,2,7.3,2,22,246,3,2,0,2,1,0,22,6,4,12,1.50,0.35,1.85,0.78,7.3,7.3
2026-09-09T00:28:10+00:00,2026-09-08,daily,4,2026-09-12T12:30:00Z,13,Rice,ARS,MID,74,-1,-1,13.6,15126,77197,72398,483810,a,,,,,,1,1,4.3,5,13,241,3,0,1,2,1,0,24,10,3,11,0.10,0.26,0.36,0.78,4.3,4.3
