snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,1,Raya,ARS,GKP,60,0,0,38.3,7770,7867,114504,89845,a,,,,,,,,3.0,0,6,90,1,0,0,1,0,1,0,1,0,8,0.00,0.00,0.00,0.20,3.0,3.0
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,2,Arrizabalaga,ARS,GKP,50,0,0,0.1,39,50,361,1439,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,3,Meslier,ARS,GKP,50,0,0,0.0,7,22,108,514,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,28.9,2536,17022,61301,141130,a,,,,,,,,2.5,0,5,90,1,0,0,1,0,0,4,4,0,2,0.05,0.01,0.06,0.20,2.5,2.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,42,184,443,3288,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.3,109,443,955,7259,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,472,543,10165,9594,a,,,,,,,,1.5,0,3,90,1,0,0,1,0,0,7,1,1,5,0.06,0.11,0.17,0.20,1.5,1.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,8,Calafiori,ARS,DEF,56,0,1,41.7,11655,4507,321760,46140,a,,,,,,,,4.5,0,9,80,1,0,1,1,0,0,5,4,1,1,0.04,0.09,0.13,0.06,4.5,4.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,9,Hincapie,ARS,DEF,54,0,-1,1.5,390,1146,4300,42192,a,,,,,,,,0.5,0,1,9,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.15,0.5,0.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,10,White,ARS,DEF,55,0,0,6.9,6114,5570,151055,30625,a,,2026-07-23T12:01:23.305229Z,100,100,,,,5.5,0,11,90,1,0,1,1,0,0,5,4,1,3,0.18,0.21,0.39,0.20,5.5,5.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,11,Mosquera,ARS,DEF,55,0,0,5.7,718,5277,16128,51226,a,,,,,,,,3.0,0,6,90,1,0,0,1,0,0,6,6,0,3,0.00,0.00,0.00,0.20,3.0,3.0
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,12,Saka,ARS,MID,95,0,0,10.4,2555,4143,91468,39373,a,,,,,1,2,2,4.5,0,9,67,1,1,0,1,0,0,7,2,1,4,0.64,0.08,0.72,0.06,4.5,4.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,13,Rice,ARS,MID,75,0,0,16.7,1535,12999,37022,170721,a,,,,,,1,1,1.5,0,3,67,1,0,0,1,0,0,6,3,0,3,0.07,0.08,0.15,0.06,1.5,1.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,14,Eze,ARS,MID,64,-1,-1,1.7,557,1740,6273,46232,a,,,,,,3,,0.5,0,1,14,0,0,0,0,0,0,2,0,0,2,0.04,0.00,0.04,0.15,0.5,0.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,15,Ødegaard,ARS,MID,66,0,1,11.8,7483,3983,297042,40843,a,,,,,3,,4,5.5,0,11,75,1,1,0,1,0,0,8,1,3,4,0.21,0.10,0.31,0.06,5.5,5.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,16,Madueke,ARS,MID,64,0,-1,0.3,160,264,1572,8495,a,,,,,,,6,0.5,0,1,22,0,0,0,0,0,0,2,0,0,2,0.00,0.04,0.04,0.15,0.5,0.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,17,Merino,ARS,MID,59,-1,-1,0.6,294,835,2716,16092,a,,,,,,,,0.5,0,1,14,0,0,0,0,0,0,2,0,0,2,0.14,0.02,0.16,0.15,0.5,0.5
2026-08-29T03:48:53+00:00,2026-08-28,daily,3,2026-09-04T17:30:00Z,18,Martinelli,ARS,MID,64,0,-1,0.2,122,266,1440,7302,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
