snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,1,Raya,ARS,GKP,60,0,0,38.3,91899,68627,91899,68627,a,,,,,,,,6.0,6,6,90,1,0,0,1,0,1,0,1,0,8,0.00,0.00,0.00,0.20,4.0,4.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,2,Arrizabalaga,ARS,GKP,50,0,0,0.1,290,1193,290,1193,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.6,2.6
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,3,Meslier,ARS,GKP,50,0,0,0.0,93,429,93,429,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.6,2.6
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,29.2,52066,104029,52066,104029,a,,,,,,,,5.0,5,5,90,1,0,0,1,0,0,4,4,0,2,0.05,0.01,0.06,0.20,4.0,4.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,369,2805,369,2805,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.3,789,6271,789,6271,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,8420,7720,8420,7720,a,,,,,,,,3.0,3,3,90,1,0,0,1,0,0,7,1,1,5,0.06,0.11,0.17,0.20,2.0,2.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,8,Calafiori,ARS,DEF,56,1,1,41.6,278837,34721,278837,34721,a,,,,,,,,9.0,9,9,80,1,0,1,1,0,0,5,4,1,1,0.04,0.09,0.13,0.06,2.6,2.6
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,9,Hincapie,ARS,DEF,54,-1,-1,1.5,3516,36042,3516,36042,a,,,,,,,,1.0,1,1,9,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.15,2.4,2.4
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,10,White,ARS,DEF,55,0,0,6.5,121727,20273,121727,20273,a,,2026-07-23T12:01:23.305229Z,100,100,,,,11.0,11,11,90,1,0,1,1,0,0,5,4,1,3,0.18,0.21,0.39,0.20,2.5,2.5
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,11,Mosquera,ARS,DEF,55,0,0,5.8,13731,36383,13731,36383,a,,,,,,,,6.0,6,6,90,1,0,0,1,0,0,6,6,0,3,0.00,0.00,0.00,0.20,2.5,2.5
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,12,Saka,ARS,MID,95,0,0,10.4,77306,28249,77306,28249,a,,,,,1,2,2,9.0,9,9,67,1,1,0,1,0,0,7,2,1,4,0.64,0.08,0.72,0.06,3.2,3.2
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,13,Rice,ARS,MID,75,0,0,17.1,32060,132079,32060,132079,a,,,,,,1,1,3.0,3,3,67,1,0,0,1,0,0,6,3,0,3,0.07,0.08,0.15,0.06,2.6,2.6
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,14,Eze,ARS,MID,65,0,0,1.8,5115,38489,5115,38489,a,,,,,,3,,1.0,1,1,14,0,0,0,0,0,0,2,0,0,2,0.04,0.00,0.04,0.15,2.3,2.3
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,15,Ødegaard,ARS,MID,66,1,1,11.4,255814,30435,255814,30435,a,,,,,3,,4,11.0,11,11,75,1,1,0,1,0,0,8,1,3,4,0.21,0.10,0.31,0.06,2.3,2.3
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,16,Madueke,ARS,MID,64,-1,-1,0.3,1153,7040,1153,7040,a,,,,,,,6,1.0,1,1,22,0,0,0,0,0,0,2,0,0,2,0.00,0.04,0.04,0.15,2.3,2.3
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,17,Merino,ARS,MID,60,0,0,0.6,2151,13721,2151,13721,a,,,,,,,,1.0,1,1,14,0,0,0,0,0,0,2,0,0,2,0.14,0.02,0.16,0.15,2.2,2.2
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,18,Martinelli,ARS,MID,64,-1,-1,0.2,1146,6199,1146,6199,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.3,2.3
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,19,Zubimendi,ARS,MID,55,0,0,1.0,1416,17727,1416,17727,a,,,,,,,,1.0,1,1,22,0,0,0,0,0,0,3,0,1,2,0.00,0.02,0.02,0.15,2.0,2.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,20,Dowman,ARS,MID,54,-1,-1,0.1,400,2118,400,2118,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.9,1.9
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,22,Nwaneri,ARS,MID,55,0,0,0.0,68,292,68,292,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
2026-08-28T06:14:47+00:00,2026-08-27,daily,2,2026-08-28T17:30:00Z,23,Fábio Vieira,ARS,MID,55,0,0,0.0,69,190,69,190,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2.0,2.0
